actin_filaments,cell_junctions,centrosome,cytoplasmic_bodies,cytoskeleton,cytosol,endoplasmic_reticulum,endosome,endosome_membrane,er_lumen,er_membrane,golgi_apparatus,golgi_lumen,golgi_membrane,lysosome,lysosome_membrane,membrane_proteins,microtubule_organizing_center,midbody,mitochondria,mitochondria_matrix,mitochondrial_membrane,myofibril,nuclear_bodies,nuclear_membrane,nuclear_speckles,nucleolus,nucleoplasm,nucleus,peroxisome,plasma_membrane,secreted,vesicle,vesicle_membrane
,,,,,,,,Late endosome membrane,,Endoplasmic reticulum membrane Single-pass membrane protein Cytoplasmic side,,,Golgi apparatus membrane,,,Basolateral cell membrane Single-pass type II membrane protein,,,,,Mitochondrion membrane Lipid-anchor GPI-anchor,,,Nucleus membrane Peripheral membrane protein Nucleoplasmic side,,,,,,Cell membrane Lipid-anchor GPI-anchor Extracellular side,,Cytoplasmic vesicle Secretory vesicle lumen,Cytoplasmic vesicle Phagosome membrane Multi-pass membrane protein
,,,,,,,,Late endosome membrane Lipid-anchor,,Endoplasmic reticulum membrane Single-pass type I membrane protein,,,Golgi apparatus membrane Lipid-anchor,,,Cell membrane Multi-pass membrane protein,,,,,Mitochondrion membrane Multi-pass membrane protein,,,Nucleus membrane Single-pass membrane protein,,,,,,Cell membrane Sarcolemma,,Cytoplasmic vesicle lumen,Cytoplasmic vesicle Phagosome membrane Peripheral membrane protein
,,,,,,,,Late endosome membrane Lipid-anchor Cytoplasmic side,,Endoplasmic reticulum membrane Single-pass type II membrane protein,,,Golgi apparatus membrane Lipid-anchor Cytoplasmic side,,,Cell membrane Peripheral membrane protein,,,,,Mitochondrion membrane Peripheral membrane protein,,,Nucleus membrane Single-pass membrane protein Cytoplasmic side,,,,,,Cell membrane Sarcolemma T-tubule,,Zymogen granule,Cytoplasmic vesicle Phagosome membrane Peripheral membrane protein Cytoplasmic side
,,,,,,,,Late endosome membrane Multi-pass membrane protein,,Endoplasmic reticulum membrane Single-pass type III membrane protein,,,Golgi apparatus membrane Multi-pass membrane protein,,,Cell membrane Peripheral membrane protein Cytoplasmic side,,,,,Mitochondrion membrane Single-pass membrane protein,,,Nucleus membrane Single-pass type I membrane protein,,,,,,Membrane,,Zymogen granule lumen,Cytoplasmic vesicle Phagosome membrane Single-pass type I membrane protein
,,,,,,,,Late endosome membrane Peripheral membrane protein,,Endoplasmic reticulum membrane Single-pass type III membrane protein Cytoplasmic side,,,Golgi apparatus membrane Peripheral membrane protein,,,Cell membrane Peripheral membrane protein Extracellular side,,,,,Mitochondrion membrane Single-pass type II membrane protein,,,Nucleus outer membrane,,,,,,Membrane Caveola,,Extracellular vesicle,Cytoplasmic vesicle Secretory vesicle Acrosome membrane Peripheral membrane protein
,,,,,,,,Late endosome membrane Peripheral membrane protein Cytoplasmic side,,Endoplasmic reticulum membrane Single-pass type IV membrane protein,,,Golgi apparatus membrane Peripheral membrane protein Cytoplasmic side,,,Cell membrane Sarcolemma Multi-pass membrane protein,,,,,Mitochondrion membrane Single-pass type IV membrane protein,,,Nucleus outer membrane Multi-pass membrane protein,,,,,,Membrane Caveola Lipid-anchor,,,Cytoplasmic vesicle Secretory vesicle Chromaffin granule membrane Single-pass type II membrane protein
,,,,,,,,Late endosome membrane Single-pass type I membrane protein,,Endoplasmic reticulum membrane Single-pass type IV membrane protein Cytoplasmic side,,,Golgi apparatus membrane Single-pass membrane protein,,,Cell membrane Sarcolemma Peripheral membrane protein,,,,,Mitochondrion outer membrane,,,Nucleus outer membrane Peripheral membrane protein,,,,,,Membrane Caveola Multi-pass membrane protein,,,Cytoplasmic vesicle Secretory vesicle Microneme membrane Multi-pass membrane protein
,,,,,,,,Late endosome membrane Single-pass type II membrane protein,,Endoplasmic reticulum-Golgi intermediate compartment membrane Multi-pass membrane protein,,,Golgi apparatus membrane Single-pass type I membrane protein,,,Cell membrane Sarcolemma Peripheral membrane protein Cytoplasmic side,,,,,Mitochondrion outer membrane Lipid-anchor Cytoplasmic side,,,Nucleus outer membrane Single-pass type IV membrane protein Cytoplasmic side,,,,,,Membrane Clathrin-coated pit,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle
,,,,,,,,Recycling endosome membrane,,Microsome membrane Multi-pass membrane protein,,,Golgi apparatus membrane Single-pass type II membrane protein,,,Cell membrane Sarcolemma T-tubule Multi-pass membrane protein,,,,,Mitochondrion outer membrane Multi-pass membrane protein,,,,,,,,,Membrane Coated pit,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle membrane
,,,,,,,,Recycling endosome membrane Lipid-anchor Cytoplasmic side,,Microsome membrane Peripheral membrane protein,,,,,,Cell membrane Single-pass membrane protein,,,,,Mitochondrion outer membrane Peripheral membrane protein,,,,,,,,,Membrane Lipid-anchor,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle membrane Multi-pass membrane protein
